ID,LHML,LHEB,LHHD,RHML,RHEB,RHHD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFHD,RFMLD,RFAPD,LTML.Gold,LTML,LTPB,LTMLD,LTAPD,RTML.Gold,RTML,RTPB,RTMLD,RTAPD
AMNH 98/337,NA,NA,NA,NA,NA,NA,NA,17.52,10.8,NA,17.62,10.96,440,437,78,44.59,27.66,27.58,432,429,80,44.61,28.67,27.63,351,355,71.06,23.77,28.36,351,353,68.36,23.4,27.63
AMNH 98/356,324,60,40.51,329,60,41.49,249,14.64,11.55,250,15.83,11.29,466,460,78,42.92,23.13,29.54,464,456,79,42.93,22.76,27.29,395,400,68.09,23.29,23.33,397,400,68.12,23.66,25.86
AMNH 98/366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,411,69,38.15,21.31,27.39,412,408,69,37.95,22.09,27.38,327,329,61.71,17.62,26.85,326,328,60.58,17.43,24.62
AMNH 98/373,304,57,40.88,308,57,41.69,232,13.02,10.71,234,13.28,10.45,NA,NA,NA,40.65,29.2,29.53,NA,NA,NA,41.98,28.65,28.16,NA,NA,NA,20.48,28.48,NA,NA,NA,20.17,28.27
AMNH 98/375,320,57,43.36,322,60,43.31,223,18.14,11.37,227,16.79,10.96,447,444,76,43.96,26.43,29.34,452,446,83,43.38,25.77,29.22,346,351,68.73,20.56,29.64,345,349,70.72,21.73,28.58
AMNH 98/291,332,63,44.16,330,64,42.78,226,16.5,12.99,231,17.2,11.11,476,473,78,44.72,25.68,28.93,474,468,80,46.43,25.09,29.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMNH 98/278,306,59,46.2,308,58,45.21,226,16.89,11.74,232,16.32,11.94,411,409,73,44.62,24.78,27.57,419,417,76,44.28,24.94,29.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMNH 98/260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461,451,74,40.44,22.56,28.17,463,NA,76,40.38,21.68,28.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMNH 98/258,328,55,43.53,324,56,42.5,233,17.21,11.25,234,15.7,10.68,436,432,77,43.23,26.38,27,433,429,76,43.83,25.26,25.75,359,361,71.59,23.62,24.45,363,364,69.91,19.44,26.45
AMNH 98/228,302,56,42.18,305,56,39.26,222,13.96,9.44,223,14.27,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,331,64.41,20.01,27.02,324,329,64.72,18.49,25.2
AMNH 98/234,NA,NA,NA,NA,NA,NA,196,16.49,9.8,200,15.63,10.35,406,402,75,41.75,27.2,26.18,404,400,75,41.77,26.04,25.02,327,332,63.81,24.77,28.43,331,335,66.22,24.21,27.15
AMNH 98/219,271,53,38.91,278,53,39.64,207,14.55,9.76,208,13.33,9.61,417,413,71,38.93,24.63,26.21,415,411,71,40.35,24.71,26.37,340,341,66.09,19.84,27,332,334,62.85,19.82,25.65
AMNH 98/221,301,54,40.31,302,56,41.53,212,15.69,10.39,213,16.03,9.81,420,415,73,40.65,24.13,27.63,414,408,74,42,24.04,28.22,331,334,62.9,20.24,27.86,327,330,65.46,22.84,25.59
AMNH 98/202,NA,NA,NA,NA,NA,NA,226,13.25,10.11,229,13.89,10.28,436,433,71,40.51,25.92,23.66,435,430,71,41.27,25.02,23.13,350,351,63.88,20.78,26.13,351,352,66.19,20.25,24.72
AMNH 98/191,NA,NA,NA,NA,NA,NA,195,15.22,10.43,197,15,10.75,399,395,76,40.71,27.65,24.96,396,395,78,40.82,25.32,25.85,325,328,69.45,20.68,25.3,325,329,71.32,20.23,26.04
AMNH 98/193,300,54,43.18,302,56,42.1,217,17.66,10.95,219,16.87,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,364,68.49,21.81,29.22,359,362,70.67,21.24,28.05
AMNH 98/200,335,57,45.28,332,57,44.29,248,15.18,10.97,247,15.75,9.29,470,467,75,44.39,23.99,24.94,470,466,77,43.71,24.05,24.76,395,398,68,17.5,24.48,397,401,70,18.2,24.61
AMNH 98/202,NA,NA,NA,NA,NA,NA,226,13.22,9.76,228,14,10.31,437,432,70,40.52,25.54,22.92,436,430,71,41.4,25.42,23.21,352,354,64,20.61,25.38,350,353,66,20.17,25.7
AMNH 98/219,271,53,40.06,279,53,39.71,208,13.85,9.69,208,13.56,9.87,416,413,72,39.09,24.31,26.34,414,412,71,40.11,24.83,25.84,335,342,65,19.63,26.96,331,333,66,19.94,26.22
AMNH 98/221,302,54,41.2,302,54,42.3,213,15.45,11,214,16.3,10.54,420,414,73,40.46,24.73,28.2,414,409,73,41.99,24.15,28.86,332,335,63,19.72,27.87,329,330,65,22.43,26.27
AMNH 98/158,304,54,40.34,308,54,40.06,223,16.14,10.66,223,16.64,11.44,427,424,73,41.7,29.6,27.43,429,427,74,42.64,28.35,25.24,360,365,NA,20.53,28.7,356,358,NA,19.5,28.98
AMNH 98/165,326,61,50.09,325,62,50.19,237,17.96,11.16,234,17.82,12.77,477,473,89,52.8,33.44,29.75,476,474,89,52.07,30.91,29.19,379,381,78,24.26,31.18,377,382,81,25.42,30.01
AMNH 98/166,302,57,45.46,305,59,44.83,213,16.37,9.81,217,16.53,10.03,455,452,81,44.9,29.06,27.45,458,454,82,45.93,26.63,28.23,367,369,74,23.26,27.78,367,369,77,23.54,27.13
AMNH 98/143,316,58,40.96,318,57,40.9,230,16.18,12.08,231,16.83,12.45,439,432,78,40.63,23.86,28.49,432,424,80,40.64,23.72,26.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMNH 98/116,354,60,43.2,357,60,41.27,NA,NA,NA,NA,NA,NA,525,515,79,43.8,31.12,30.92,530,520,80,43.69,28.92,30.01,456,460,70,25.85,31.82,459,460,72,25.85,32.06
AMNH 98/88,293,48,38.08,294,49,39.27,205,14.5,10.71,203,15.62,10.91,413,411,71,39.03,25.56,27.05,412,410,71,39.27,24.47,26.98,339,343,63,19.21,28.84,340,341,62,19.36,28.24
AMNH 98/295,307,61,45.25,311,61,44.37,227,17.68,12.58,229,17.53,12.15,425,423,82,44.9,27.91,30.66,423,420,82,45.78,26.42,31.33,344,346,74,22.38,32.02,341,343,73,23.57,32.35
AMNH 98/296,338,61,51.85,338,62,51.92,242,18.51,13.43,247,18.09,13.46,471,468,86,50.53,31.64,31,465,464,88,49.93,31.02,31.17,384,384,75,23.14,32.45,382,380,81,23.71,32.79
AMNH 98/297,359,63,50.61,359,66,50.87,267,19.74,15.35,270,19.27,14.37,501,497,89,51.46,30,34.15,511,507,90,50.6,30.05,34.98,413,414,84,25.74,35.22,415,414,87,25.41,35.52
AMNH 98/303,318,59,48.03,322,59,48.81,213,NA,NA,216,NA,NA,430,428,77,44.62,28.88,28.35,438,434,78,44.78,27.6,25.86,342,346,72,22.27,29.78,343,345,71,21.45,29.59
AMNH 98/305,345,62,48.06,344,60,47.08,269,17.27,14.67,269,18.29,13.57,477,475,77,47.54,29.43,30.08,475,473,79,47.48,26.45,31.02,403,409,71,23.03,32.13,398,403,75,23.5,31.11
AMNH 98/306,346,62,48.51,354,63,49.38,250,17.98,13.4,253,17.19,12.74,451,444,NA,47.47,31.58,29.17,452,447,NA,48.24,29.56,28.33,396,398,73,23.93,31.72,390,391,77,23.49,31
AMNH 98/307,336,NA,47.57,344,NA,48.64,251,17.79,13.49,254,18,12.93,469,468,80,47.19,29.26,30.42,474,472,78,46.56,27.3,30.53,379,381,75,25.69,31.79,385,391,73,24.73,30.5
AMNH 98/308,330,57,47.28,336,58,47.55,236,17.37,13.31,237,16.79,12.81,447,444,81,46.65,25.96,32.03,437,434,81,47.2,26.67,32.08,374,378,72,20.76,30.66,371,373,73,19.53,30.33
AMNH 98/310,352,60,49.77,352,62,50.49,255,17.76,12.76,262,17.77,13.23,489,483,85,47.16,30.79,33.96,488,482,85,48.08,30.47,34.59,397,404,75,26.5,33.07,392,399,76,26.55,33.22
AMNH 98/312,342,64,46.83,337,63,47.26,235,15.44,11.92,236,15.44,12.29,459,458,83,47.37,30.93,30.25,457,455,83,48.19,31.01,25.6,374,379,79,26.23,33.98,372,376,77,24.34,30.97
OCME M-06-6727,347,67,50.42,349,67,49.42,NA,NA,NA,NA,NA,NA,485,481,86,48.17,28.34,26.5,486,481,86,48.2,28.1,28.68,409,412,76.8,19.75,28.22,408,411,77.38,19.78,29.14
OCME M89-3101,334,66,50.04,331,65,50.69,263,18.75,12.66,264,19.56,13.91,504,498,93,51.16,26.12,35.83,511,507,93,48.97,25.87,34.65,406,409,84.87,24.68,33.85,410,414,85.17,24.82,33.63
OCME M-98-2952,333,61,46.1,329,62,46.43,NA,NA,NA,NA,NA,NA,450,449,78,43.61,24.15,28.8,464,457,79,44.55,24.06,29.07,392,395,69,22.68,28.95,393,396,70,21.53,26.29
OCME M-87-5933,331,71,45.41,333,70,46.5,264,17.1,13.89,270,16.94,14.81,472,469,85,46.88,28,32.02,469,465,86,47.72,27.37,32.3,384,389,77,22.08,30,385,391,77,21.29,30.16
OCME M89-2344,NA,NA,NA,NA,NA,NA,254,16.72,13.06,253,18.23,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCME M-85-3894,333,59,44.8,337,60,44.1,261,12.78,12.03,268,14.03,12.54,455,450,80,43.93,26.76,25.67,456,452,80,44.25,25.58,26.71,401,404,72,21.72,30.38,400,402,71,22.58,30.88
OCME M-06-6727,348,67,49.97,349,67,49.37,NA,NA,NA,NA,NA,NA,486,481,86,48.21,28.88,29.5,487,481,86,48.22,27.19,28.04,410,412,73,20.05,29.14,408,411,78,20.13,29.87
OCME M03-0825,273,58,39.22,276,58,41.44,200,14.61,10.49,203,15.94,10.27,410,407,72,36.37,22.23,26,418,415,72,40.89,22.4,25.33,NA,NA,62,19.27,26.66,NA,NA,64,19.63,25.82
OCME M-08-1925,311,54,40.24,313,54,41.75,240,12.69,10.44,241,13.52,10.1,431,434,70,39.07,22.69,25,432,427,72,39.4,21.95,27.35,377,380,59,18.92,24.81,375,379,64.14,18.8,26.44
OCME R97-0945,315,60,48.78,310,61,49.16,235,15.9,10.79,235,16.18,11.41,421,417,79,42.45,24.07,27.06,418,413,80,42.97,25.08,26.07,349,352,74.59,21.75,29.3,345,348,73.34,20.51,29.33
OCME R-99-0227,288,47,40.47,287,48,38.93,222,14.85,9.78,219,14.98,10.04,407,402,70,42.31,23.15,26.07,403,399,71,42.45,22.9,27.06,337,338,62,19.16,26.61,334,336,62,20.06,28.32
OCME Q-91-2594,294,NA,37.63,297,NA,37.63,NA,NA,NA,NA,NA,NA,430,427,67,37.03,22.45,25.18,426,423,67,37.79,22.32,25.75,348,351,61,18.98,25.33,350,354,63,20.05,24.66
OCME Q01-1631,333,71,47.13,334,69,47.48,264,18.53,13.21,265,17.96,12.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,402,74,26.82,31.47,396,398,73,27.03,30.08
OCME Q-14-1814,319,61,45.76,320,60,44.21,244,14.5,12.21,242,15.17,12.32,449,447,78,44.62,24.88,27.88,453,449,79,44.09,24.65,28.02,381,384,69,21.36,28.34,377,379,71,21.54,29.02
OCME Q-07-3858,311,NA,46.09,312,NA,47.14,233,14.75,11.18,235,14.9,10.78,439,436,83,47.1,24.5,30.75,431,433,84,47.34,25.19,29.4,362,363,69,22.21,31.91,361,365,74,21.56,31.13
UIUC 132,325,71.02,49.49,329,73.71,49.42,236,15.17,12.62,239,16.44,12.54,453,451,87,50.16,30.23,30.12,452,450,88,49.9,30.93,29.02,394,398,75.49,22.91,30.51,394,395,78.88,22.39,30.32
UIUC 241,342,62,45.29,346,66,48.25,253,17.55,13.9,258,19.17,12.78,475,472,85,48.99,33.47,31.38,470,465,85,48.7,33.07,28.55,400,404,76.5,23.41,31.68,401,404,76.72,23.63,27.99
UIUC 88,324,61,48.61,325,61,50.67,237,17.99,12.79,239,18.35,12.14,453,450,85,49.15,30.08,26.26,457,456,84,50.75,29.84,27.36,353,358,76.85,23.78,30.04,365,366,78.71,23.09,31.58
UIUC 143,334,68,47.21,341,69,48.01,261,17.77,13.35,261,17.13,13.35,469,467,86,48.59,31.56,33.15,468,466,86,48.37,30.6,31.11,396,400,76.26,21.29,35.68,392,397,75.73,22.06,32.62
UIUC 238,318,61,51.46,322,60,52.01,241,17.19,12.36,245,17.45,11.43,470,465,81.6,49.43,26.04,26.12,462,464,79.92,48.59,27.13,27.62,366,370,79.09,22.13,28.36,365,368,78.98,22.34,27.08
UIUC 36,320,67,50.82,331,71.36,52.02,241,17.36,12.17,244,18.25,12.35,460,459,NA,48.97,27.58,29.57,457,455,NA,48.67,26.26,31.05,368,374,74.35,23.94,31.91,372,377,78.93,24.51,31.34
UIUC 70,363,67,53.47,365,65,NA,227,15.56,11.86,234,15.33,11.94,525,519,90,54.28,30.54,35.84,527,524,92,53.63,30.67,37.48,419,419,82.27,24.53,32.85,418,418,85.09,22.74,31.96
UIUC 94,315,63,48.09,320,63,47.74,NA,NA,NA,NA,NA,NA,441,438,77,44.12,26.23,30.33,441,439,77,44.78,26,29.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UIUC 39,337,71,51.89,341,70,51.18,NA,21.67,13.79,NA,22.13,13.88,489,484,89,52.46,29.1,35.59,482,478,88,52.79,30.81,34.62,377,383,82.31,24.78,30.92,382,387,81.66,24.34,30.76
UIUC 241,341,62,45.95,346,66,47.7,253,18.3,14.02,258,18.82,11.95,475,472,85,49.49,33.46,32.1,470,465,84,48.84,32.92,29.72,399,403,77.71,23.04,32.73,401,404,76.84,23.6,29.29
UIUC 132,325,70,49.78,329,71,51.04,236,14.73,12.2,239,16.53,11.83,452,451,87,50.55,30.19,31.04,452,450,88,49.21,30.75,28.32,393,397,76.92,21.97,29.65,393,396,78.07,21.07,29.96
UIUC 143,335,67,47.55,340,69,48.12,260,17.2,13.35,262,17.22,13.14,469,467,85,48.44,32.04,32.97,468,466,86,47.61,30.55,30.7,396,400,76.33,21.14,34.66,392,397,74.93,21.73,33.9
UIUC 88,323,62,48.72,325,62,51.45,237,18.48,12.63,240,18.42,12.04,452,451,85,49.27,30.11,26.58,457,456,84,50.84,29.6,27.48,352,358,77.51,23.82,30.56,365,367,77.85,22.96,31.29
UIUC 36,320,67,51.38,331,71,52.07,241,17.59,12.09,244,18.44,12.06,459,457,88,48.78,27.66,30,457,455,NA,48.67,26.15,30.57,368,372,75.76,23.96,31.23,373,376,77.49,24.23,32.06
UIUC 238,318,60,51.3,322,61,49.96,240,17.15,12.44,244,17.48,11.27,470,464,81.65,49.23,26.11,26.24,467,464,78.99,48.6,27.21,27.56,365,370,78.74,22.03,27.64,365,369,78.91,22.21,27.89
UIUC 70,363,66,53.28,365,66,NA,227,15.85,11.59,234,15,11.68,525,519,90,54.47,30.64,35.57,527,524,92,53.74,30.44,37.04,419,419,82.02,24.27,33.03,417,418,83.28,23.03,33.05
UIUC 39,338,69,51.09,341,70,52.37,NA,20.47,13.69,NA,21.17,13.51,487,483,89,52.56,29.08,34.48,482,477,88,52.52,30.82,34.21,377,383,82.17,24.86,31.09,382,388,81.77,24.26,31.29
UIUC 94,315,63,47.94,320,63,47.13,NA,NA,NA,NA,NA,NA,442,438,76,44.2,26.31,29.56,441,438,77,44.43,26.05,29.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNC MN-7,297,55,40.02,297,55,39.78,228,15.55,12.47,228,15.17,12.97,415,412,76.56,44.24,24.58,28.73,415,411,79.52,44.9,25.64,29.9,344,346,68.86,21.72,29.65,343,346,69.16,22.26,30.01
MNC MN-2,306,56.14,41.34,308,56.45,42.4,241,15.83,12.17,240,15.67,12.54,447,446,NA,NA,22.83,31.59,441,440,NA,NA,23.96,32.1,364,366,66.08,22.5,30.33,363,368,69.76,23.42,29.82
MNC MN-1,259,49.32,36.54,262,49.44,36.77,NA,16.53,10.71,NA,16.24,10.78,NA,NA,68.72,NA,25.45,25.63,NA,NA,67.21,NA,25.34,26.12,301,299.5,62.13,23.95,29.37,301,302,63.1,19.78,25.03
MNC MN-6,281,51,37.78,283,52,38.59,228,12.64,10.34,231,12.5,10.39,400,398,66,38.33,24.3,26.91,397,395,67,39.3,25.21,27.03,333,334,60.82,19.17,28.24,330,332,60.85,19.86,28.11
